"","wave","day","amp","phase","cvel","amp_std"
"1",1,1,0,0,0,-2.68809392303535
"2",2,1,0,0,0,-2.4821014829268
"3",3,1,0,0,0,-2.14445958237565
"4",4,1,0,0,0,-1.82654595340093
"5",5,1,0,0,0,-2.06135153017791
"6",6,1,0,0,0,-1.93179393179326
"7",7,1,0,0,0,-1.9061539302471
"8",8,1,0,0,0,-1.7857555409165
"9",9,1,0,0,0,-1.65990377755394
"10",10,1,0,0,0,-1.77974583380594
"11",1,2,0,0,0,-2.68809392303535
"12",2,2,0,0,0,-2.4821014829268
"13",3,2,0,0,0,-2.14445958237565
"14",4,2,0,0,0,-1.82654595340093
"15",5,2,0,0,0,-2.06135153017791
"16",6,2,0,0,0,-1.93179393179326
"17",7,2,0,0,0,-1.9061539302471
"18",8,2,0,0,0,-1.7857555409165
"19",9,2,0,0,0,-1.65990377755394
"20",10,2,0,0,0,-1.77974583380594
"21",1,3,0,0,0,-2.68809392303535
"22",2,3,0,0,0,-2.4821014829268
"23",3,3,0,0,0,-2.14445958237565
"24",4,3,0,0,0,-1.82654595340093
"25",5,3,0,0,0,-2.06135153017791
"26",6,3,0,0,0,-1.93179393179326
"27",7,3,0,0,0,-1.9061539302471
"28",8,3,0,0,0,-1.7857555409165
"29",9,3,0,0,0,-1.65990377755394
"30",10,3,0,0,0,-1.77974583380594
"31",1,4,0,0,0,-2.68809392303535
"32",2,4,0,0,0,-2.4821014829268
"33",3,4,0,0,0,-2.14445958237565
"34",4,4,0,0,0,-1.82654595340093
"35",5,4,0,0,0,-2.06135153017791
"36",6,4,0,0,0,-1.93179393179326
"37",7,4,0,0,0,-1.9061539302471
"38",8,4,0,0,0,-1.7857555409165
"39",9,4,0,0,0,-1.65990377755394
"40",10,4,0,0,0,-1.77974583380594
"41",1,5,0,0,0,-2.68809392303535
"42",2,5,0,0,0,-2.4821014829268
"43",3,5,0,0,0,-2.14445958237565
"44",4,5,0,0,0,-1.82654595340093
"45",5,5,0,0,0,-2.06135153017791
"46",6,5,0,0,0,-1.93179393179326
"47",7,5,0,0,0,-1.9061539302471
"48",8,5,0,0,0,-1.7857555409165
"49",9,5,0,0,0,-1.65990377755394
"50",10,5,0,0,0,-1.77974583380594
"51",1,6,0,0,0,-2.68809392303535
"52",2,6,0,0,0,-2.4821014829268
"53",3,6,0,0,0,-2.14445958237565
"54",4,6,0,0,0,-1.82654595340093
"55",5,6,0,0,0,-2.06135153017791
"56",6,6,0,0,0,-1.93179393179326
"57",7,6,0,0,0,-1.9061539302471
"58",8,6,0,0,0,-1.7857555409165
"59",9,6,0,0,0,-1.65990377755394
"60",10,6,0,0,0,-1.77974583380594
"61",1,7,0,0,0,-2.68809392303535
"62",2,7,0,0,0,-2.4821014829268
